repetition, create_time, quantile_mean, quantile_sd, time_quantile, mean_mean, mean_sd, time_mean, mode_mean, mode_sd, time_mode
1,25.127,-2.028967,0.077059,8.186075,-1.984481,0.048394,0.146662,-1.991432,0.050598,0.209068
2,3.3577,-1.944992,0.058134,0.164505,-1.928678,0.05512,0.07592,-2.067304,0.050098,0.08959
3,0.6026,-1.974194,0.054023,0.18144,-2.046815,0.145836,0.103365,-2.021819,0.058677,0.069383
4,0.625,-1.897114,0.066285,0.156935,-2.024296,0.057897,0.077213,-2.075502,0.050748,0.060202
5,0.8411,-2.0228,0.049894,0.177395,-1.968324,0.094376,0.080605,-2.098762,0.075177,0.069525
6,0.4759,-1.983838,0.054407,0.11554,-1.919002,0.098334,0.07277,-2.0766,0.077417,0.066642
7,0.5009,-2.047842,0.118662,0.113763,-1.973487,0.049163,0.064255,-1.970854,0.051942,0.057025
8,0.6022,-1.968903,0.05548,0.19837,-2.087009,0.048834,0.061563,-2.001749,0.068007,0.060018
9,0.6282,-2.049487,0.051046,0.188312,-1.964313,0.053882,0.089853,-2.027507,0.050233,0.065683
10,0.5572,-1.939832,0.050113,0.137027,-1.938673,0.084916,0.077285,-1.882249,0.279342,0.068905
11,0.477,-1.98611,0.046512,0.12124,-1.989718,0.054638,0.062348,-1.984238,0.053082,0.09354
12,0.414,-2.001678,0.055914,0.121127,-2.089494,0.051407,0.071345,-2.010846,0.05152,0.071785
13,0.4217,-2.023179,0.049207,0.136015,-1.929309,0.063564,0.057832,-2.001431,0.056372,0.083775
14,1.2515,-1.965445,0.05532,0.112265,-1.989671,0.062274,0.051342,-1.960495,0.064368,0.066745
15,0.4302,-1.798285,0.369284,0.101112,-2.008174,0.055757,0.06413,-2.022117,0.046461,0.05886
16,0.3682,-1.959281,0.1948,0.096833,-2.033872,0.056952,0.052015,-2.112259,0.138348,0.068135
17,0.3912,-1.992733,0.082573,0.108803,-2.006449,0.06294,0.057027,-2.033291,0.08321,0.056258
18,0.3873,-1.965233,0.082555,0.113373,-1.996616,0.049126,0.051947,-1.831939,0.334855,0.063985
19,0.3862,-1.978135,0.049151,0.113843,-1.959561,0.065912,0.056037,-1.985532,0.124109,0.054648
20,0.4173,-1.938533,0.067569,0.14344,-1.972623,0.049342,0.05585,-1.952402,0.050313,0.057552
21,0.4247,-1.994853,0.131597,0.1048,-1.945344,0.056337,0.053717,-1.95506,0.047008,0.055732
22,1.0486,-1.881771,0.102265,0.120955,-1.932167,0.079646,0.05284,-1.999332,0.048155,0.060805
23,0.3891,-2.16349,0.140184,0.12545,-2.022642,0.047923,0.081838,-1.943508,0.064517,0.05416
24,0.4821,-2.002856,0.049095,0.10094,-2.025056,0.091209,0.053555,-1.996314,0.126206,0.056135
25,0.3656,-1.979061,0.046573,0.15181,-1.926019,0.053172,0.053975,-2.107169,0.076688,0.054285
26,0.6293,-1.95971,0.068699,0.120325,-2.018444,0.057928,0.09339,-2.065311,0.061668,0.068007
27,0.399,-2.08234,0.069945,0.113117,-1.941109,0.051418,0.111298,-2.008557,0.059035,0.06258
28,0.4956,-2.015709,0.053664,0.131722,-2.051596,0.047739,0.097657,-1.913207,0.054762,0.070717
29,0.6028,-1.98259,0.053677,0.129588,-1.95275,0.05369,0.074345,-1.951858,0.403743,0.06522
30,0.4824,-1.973663,0.050981,0.131315,-2.006417,0.091649,0.072235,-2.009809,0.083563,0.061307
31,0.762,-1.946051,0.052096,0.146227,-1.976928,0.049181,0.065748,-1.962215,0.205402,0.056935
32,0.4461,-2.028132,0.050915,0.119875,-1.886371,0.102293,0.062803,-1.994884,0.140128,0.058633
33,0.5237,-2.05553,0.053249,0.182082,-2.004778,0.076486,0.06762,-1.960251,0.05122,0.054932
34,0.533,-1.941907,0.04821,0.173687,-1.933235,0.099637,0.06505,-2.001509,0.057066,0.06087
35,0.49,-2.016966,0.12865,0.148795,-2.029615,0.05357,0.074267,-2.015328,0.058628,0.05477
36,0.8295,-1.988477,0.049761,0.147475,-1.964425,0.058238,0.068915,-2.070483,0.081586,0.060725
37,0.4425,-1.996457,0.046443,0.139695,-2.083735,0.0756,0.053628,-1.960444,0.157125,0.055503
38,1.1004,-2.006646,0.05072,0.139768,-1.972982,0.048713,0.087873,-2.197669,0.143707,0.06446
39,0.814,-2.002496,0.056568,0.189165,-2.049724,0.115983,0.08363,-1.909126,0.069784,0.056597
40,0.4517,-1.956853,0.048723,0.129692,-2.121407,0.051656,0.087605,-2.069883,0.080748,0.062158
41,1.0918,-1.931203,0.051722,0.124133,-2.105171,0.06742,0.066747,-2.108178,0.126654,0.051225
42,0.4314,-1.996524,0.071324,0.09051,-2.043016,0.050678,0.0649,-1.726373,0.490396,0.05665
43,0.353,-1.999432,0.107361,0.087178,-2.055944,0.066649,0.063487,-1.930932,0.172867,0.057777
44,0.4879,-1.986974,0.049868,0.106935,-1.95774,0.051718,0.069102,-1.978668,0.045745,0.058743
45,0.5006,-1.998394,0.056115,0.133117,-1.9585,0.053659,0.059517,-1.919285,0.145669,0.056838
46,0.3927,-2.035192,0.049773,0.108933,-1.982991,0.048233,0.0661,-2.04672,0.052489,0.058673
47,0.4716,-1.987416,0.065258,0.122057,-2.086909,0.049727,0.06229,-2.010179,0.053157,0.049333
48,0.4505,-2.025307,0.048916,0.11722,-1.958219,0.058477,0.064922,-2.037369,0.073564,0.093685
49,0.4881,-1.950488,0.103181,0.109565,-2.040916,0.058263,0.053357,-1.961542,0.051113,0.061023
